name,time,co2,humidity,temperature,vpd
SnifferBuddy_Readings,1694021252317630987,787,63.2538,82.004,0.96
SnifferBuddy_Readings,1694021257335710344,788,63.3698,82.022,0.95
SnifferBuddy_Readings,1694021262353483381,789,63.4171,82.058,0.95
SnifferBuddy_Readings,1694021267376397918,788,63.3865,82.022,0.95
SnifferBuddy_Readings,1694021272397097487,787,63.3392,82.022,0.95
SnifferBuddy_Readings,1694021277418717905,789,63.3972,82.022,0.95
SnifferBuddy_Readings,1694021282437044948,789,63.4262,82.004,0.95
SnifferBuddy_Readings,1694021287456167785,790,63.3865,82.004,0.95
SnifferBuddy_Readings,1694021292472919211,790,63.2965,82.022,0.96
SnifferBuddy_Readings,1694021297496564249,790,63.2446,82.022,0.96
SnifferBuddy_Readings,1694021302549167688,789,63.2187,82.004,0.96
SnifferBuddy_Readings,1694021307569904683,789,63.1897,82.04,0.96
SnifferBuddy_Readings,1694021317605720924,790,63.0875,82.04,0.96
SnifferBuddy_Readings,1694021322625888099,790,63.06,82.094,0.97
SnifferBuddy_Readings,1694021327644636069,789,62.9486,82.076,0.97
SnifferBuddy_Readings,1694021332666685464,788,62.944,82.112,0.97
SnifferBuddy_Readings,1694021337681137448,788,63.0524,82.094,0.97
SnifferBuddy_Readings,1694021342697725766,789,63.118,82.112,0.97
SnifferBuddy_Readings,1694021347717867844,790,63.121,82.112,0.97
SnifferBuddy_Readings,1694021352741027294,790,63.0661,82.184,0.97
SnifferBuddy_Readings,1694021357760561575,790,63.0157,82.148,0.97
SnifferBuddy_Readings,1694021362785260451,788,63.1531,82.184,0.97
SnifferBuddy_Readings,1694021367809262420,787,63.2034,82.202,0.97
SnifferBuddy_Readings,1694021372826801534,788,63.2797,82.22,0.96
SnifferBuddy_Readings,1694021377842527241,789,63.2248,82.238,0.97
SnifferBuddy_Readings,1694021382863594470,789,63.3911,82.22,0.96
SnifferBuddy_Readings,1694021387885414070,789,63.5529,82.202,0.95
SnifferBuddy_Readings,1694021392909950709,788,63.5315,82.22,0.95
SnifferBuddy_Readings,1694021397925297642,789,63.562,82.274,0.95
SnifferBuddy_Readings,1694021402943082985,796,63.5788,82.292,0.95
SnifferBuddy_Readings,1694021407958837440,794,63.5925,82.274,0.95
SnifferBuddy_Readings,1694021412978676251,794,63.562,82.292,0.96
SnifferBuddy_Readings,1694021418001502120,795,63.4506,82.292,0.96
SnifferBuddy_Readings,1694021423024200047,795,63.3713,82.31,0.96
SnifferBuddy_Readings,1694021428046868531,796,63.3423,82.292,0.96
SnifferBuddy_Readings,1694021433066633998,796,63.2935,82.31,0.97
SnifferBuddy_Readings,1694021438088029636,796,63.3957,82.346,0.96
SnifferBuddy_Readings,1694021443112315277,796,63.4338,82.292,0.96
SnifferBuddy_Readings,1694021448133236549,796,63.3774,82.31,0.96
SnifferBuddy_Readings,1694021453156940937,795,63.4171,82.292,0.96
SnifferBuddy_Readings,1694021458179362809,795,63.5025,82.31,0.96
SnifferBuddy_Readings,1694021463209995150,795,63.5544,82.292,0.96
SnifferBuddy_Readings,1694021468233545029,793,63.5757,82.31,0.96
SnifferBuddy_Readings,1694021473258463449,793,63.5391,82.292,0.96
SnifferBuddy_Readings,1694021478281039705,794,63.559,82.292,0.96
SnifferBuddy_Readings,1694021483309134005,793,63.5437,82.256,0.95
SnifferBuddy_Readings,1694021488325260045,793,63.5941,82.256,0.95
SnifferBuddy_Readings,1694021493351675167,791,63.5818,82.31,0.95
SnifferBuddy_Readings,1694021498373674217,791,63.5651,82.292,0.96
SnifferBuddy_Readings,1694021503391862308,791,63.53,82.31,0.96
SnifferBuddy_Readings,1694021508408420773,791,63.3926,82.274,0.96
SnifferBuddy_Readings,1694021513431930727,790,63.3255,82.238,0.96
SnifferBuddy_Readings,1694021518453533722,791,63.3591,82.256,0.96
SnifferBuddy_Readings,1694021523475642815,791,63.295,82.292,0.97
SnifferBuddy_Readings,1694021528491081856,790,63.2217,82.274,0.97
SnifferBuddy_Readings,1694021533515831720,788,63.1958,82.256,0.97
SnifferBuddy_Readings,1694021538538449570,788,63.1805,82.274,0.97
SnifferBuddy_Readings,1694021543563496315,789,63.1607,82.274,0.97
SnifferBuddy_Readings,1694021548587916362,790,63.0859,82.274,0.97
SnifferBuddy_Readings,1694021553611695914,789,63.1027,82.292,0.97
SnifferBuddy_Readings,1694021558634243380,789,63.269,82.238,0.96
SnifferBuddy_Readings,1694021563653918294,788,63.3926,82.22,0.96
SnifferBuddy_Readings,1694021568675511809,788,63.5025,82.256,0.96
SnifferBuddy_Readings,1694021573724230339,788,63.5422,82.22,0.95
SnifferBuddy_Readings,1694021578746534292,787,63.6307,82.202,0.95
SnifferBuddy_Readings,1694021583772966494,787,63.7085,82.22,0.95
SnifferBuddy_Readings,1694021588792754996,787,63.7711,82.22,0.94
SnifferBuddy_Readings,1694021593814553969,788,63.7772,82.184,0.94
SnifferBuddy_Readings,1694021598837113098,788,63.7543,82.202,0.95
SnifferBuddy_Readings,1694021603859950807,787,63.7009,82.166,0.95
SnifferBuddy_Readings,1694021608879000245,787,63.5818,82.166,0.95
SnifferBuddy_Readings,1694021613899195616,787,63.4689,82.166,0.95
SnifferBuddy_Readings,1694021618918959364,788,63.3896,82.148,0.96
SnifferBuddy_Readings,1694021623944731511,787,63.208,82.148,0.96
SnifferBuddy_Readings,1694021628963903812,787,63.205,82.13,0.96
SnifferBuddy_Readings,1694021633987397732,787,63.1073,82.13,0.97
SnifferBuddy_Readings,1694021639007107585,788,63.1271,82.094,0.97
SnifferBuddy_Readings,1694021644035160394,787,63.0676,82.148,0.97
SnifferBuddy_Readings,1694021649057782800,787,63.0432,82.112,0.97
SnifferBuddy_Readings,1694021654077519159,786,63.0386,82.076,0.97
SnifferBuddy_Readings,1694021659095665414,786,63.2263,82.058,0.96
SnifferBuddy_Readings,1694021664116022752,785,63.4354,82.058,0.95
SnifferBuddy_Readings,1694021669133889784,783,63.4842,82.022,0.95
SnifferBuddy_Readings,1694021674156325380,784,63.5605,82.04,0.95
SnifferBuddy_Readings,1694021679180743745,784,63.5849,82.04,0.95
SnifferBuddy_Readings,1694021684255696429,784,63.6215,82.004,0.94
SnifferBuddy_Readings,1694021689277165921,784,63.62,81.986,0.94
SnifferBuddy_Readings,1694021694304851073,783,63.6154,81.986,0.94
SnifferBuddy_Readings,1694021699326272916,784,63.4872,82.004,0.95
SnifferBuddy_Readings,1694021704349570121,784,63.356,82.022,0.95
SnifferBuddy_Readings,1694021709371428242,786,63.3118,82.022,0.96
SnifferBuddy_Readings,1694021714394554151,786,63.1638,82.004,0.96
SnifferBuddy_Readings,1694021719413818771,786,63.0585,82.022,0.97
SnifferBuddy_Readings,1694021724436879884,785,62.8708,82.04,0.97
SnifferBuddy_Readings,1694021729459558932,785,62.8082,82.058,0.98
SnifferBuddy_Readings,1694021734483985008,785,62.9196,82.058,0.97
SnifferBuddy_Readings,1694021739506710890,785,62.9959,82.112,0.97
SnifferBuddy_Readings,1694021744531125060,786,63.0173,82.094,0.97
SnifferBuddy_Readings,1694021749553896720,785,63.0386,82.148,0.97
SnifferBuddy_Readings,1694021754582165615,786,63.002,82.166,0.97
SnifferBuddy_Readings,1694021759606902629,785,63.1821,82.184,0.97
SnifferBuddy_Readings,1694021764634201729,786,63.2751,82.202,0.96
SnifferBuddy_Readings,1694021769654507818,784,63.4384,82.202,0.96
SnifferBuddy_Readings,1694021774679108215,785,63.4811,82.274,0.96
SnifferBuddy_Readings,1694021779701229344,785,63.472,82.256,0.96
SnifferBuddy_Readings,1694021784726704188,785,63.5193,82.238,0.96
SnifferBuddy_Readings,1694021789753160357,784,63.5986,82.238,0.95
SnifferBuddy_Readings,1694021794780597852,785,63.6475,82.328,0.95
SnifferBuddy_Readings,1694021799799425281,785,63.6307,82.292,0.95
SnifferBuddy_Readings,1694021804818356444,784,63.5376,82.328,0.96
SnifferBuddy_Readings,1694021809832204875,784,63.5117,82.382,0.96
SnifferBuddy_Readings,1694021814851975782,784,63.4186,82.364,0.96
SnifferBuddy_Readings,1694021819871274107,785,63.3987,82.364,0.96
SnifferBuddy_Readings,1694021824893002684,785,63.3057,82.364,0.97
SnifferBuddy_Readings,1694021829914103217,786,63.2721,82.364,0.97
SnifferBuddy_Readings,1694021834935445557,785,63.2828,82.31,0.97
SnifferBuddy_Readings,1694021839953916464,785,63.3911,82.346,0.96
